Year,5th,25th,50th,75th,95th,Mean
2.25,115541.84050688763,132922.83654354583,150944.60729323007,165480.61720634397,190690.48676620738,150611.33195781126
2.3333333333333335,116715.29191331899,135326.10182048194,152027.57617067074,168301.97600000972,192399.63265558498,152736.65011086082
2.4166666666666665,117644.85717979426,137785.82178698835,154654.24611975095,172067.16335727726,195528.0537959195,155237.65520623233
2.5,118842.48909408365,138617.16023405216,157683.15193710558,172593.84889312813,197821.34493573415,157141.74221158327
2.5833333333333335,120188.91483240217,141671.67620169002,159832.7345811401,175579.28250310832,201354.71091646914,159373.5120215669
2.6666666666666665,121511.85775161903,144228.51657789797,161809.98233892902,178605.6402477625,207418.93114080277,161669.86593498272
2.75,123059.61778426696,145093.06023645643,164221.88752673852,181139.50372114644,209744.12333277965,163541.1758964297
2.8333333333333335,125179.2819651912,146287.98484657565,165351.09458290035,182501.10756604164,213209.73635944293,165619.33512749578
2.9166666666666665,125839.43875279883,148577.51899260597,168227.23082936264,184699.24747773475,214905.55732680258,168025.86690615286
3.0,126089.20038021354,150254.56595003803,171106.09548139677,186313.7020135079,218599.68526526916,170364.39640876188
3.0833333333333335,127878.80291778692,151550.71644401317,171502.97855541448,189777.00386121267,220651.56852973741,172536.54918549364
3.1666666666666665,130298.97632392705,155125.6175474993,173738.60707548977,193264.92506519193,226556.46325706906,175079.68549592618
3.25,133206.40608860127,156228.26013090616,176259.910322272,195395.79564270334,228475.65761435148,177025.81955626444
3.3333333333333335,136087.37655815843,159602.8453644148,178676.43753773524,198646.3384904574,234994.55797058318,179677.4287202262
3.4166666666666665,136854.97512075654,160174.9686055444,180030.69851352382,201206.4080461141,235293.99498152145,181966.91770444572
3.5,138820.5032409517,161317.351285381,181541.78801640734,202643.92673394666,238217.71949580667,183704.95090783254
3.5833333333333335,139774.2247188403,162233.7333314467,183208.64628637902,205692.88689509913,241661.57158493716,185767.7009896305
3.6666666666666665,141078.82411719064,163674.4767859307,184986.95256825036,209469.58559489838,246888.79575860727,187714.93745241602
3.75,142964.52176610497,166506.036628268,186548.77530457606,211489.66611250586,253355.68878337686,190387.71425175836
3.8333333333333335,143037.38509694123,167745.57407343938,187939.97825889895,213265.36962339072,254017.1547581646,192437.8744086306
3.9166666666666665,143746.47130924382,170531.29214045202,191026.82439725526,217744.47513688184,256096.67327713245,195059.60874356685
4.0,143822.24493204322,171965.96368823526,194420.50953827164,220887.44296699163,262273.69144540705,197219.3648799686
4.083333333333333,144973.67316817903,173128.39887803618,195832.62265549757,221391.23712462946,267455.0625824682,199733.1345611176
4.166666666666667,145970.97501232725,175273.7581980096,197541.6889592161,225240.44561043294,272005.96251339867,202370.44810410307
4.25,146540.66513892755,176624.79173676323,200032.8958187753,229271.01224577124,274485.7200712967,204453.65235937465
4.333333333333333,149127.8294020415,178754.30678359995,203216.7717556376,229797.03620612726,277142.60655671003,207002.44182663725
4.416666666666667,151319.07055650034,182265.67438184336,204745.05775894306,233932.4834288393,283054.27136485867,210199.57198625524
4.5,153224.28272348098,184423.88337328145,206228.33152717637,237043.58839082514,286783.4640689126,212467.86595407836
4.583333333333333,155427.46783355382,186365.3507476587,208843.11127375287,238460.31184511638,291981.37733580114,214923.3652730128
4.666666666666667,156508.30492479904,187832.98285956273,210713.2703671854,241769.6689257873,296491.76509449957,217183.09385884463
4.75,158443.55566046687,189618.1867385466,213560.20242830025,246596.11953867128,299749.9828863694,219948.11690792209
4.833333333333333,159599.10000482664,191539.62416981076,214793.87513242493,249802.71817786954,302771.2235118152,222503.9989949154
4.916666666666667,161121.43354705293,194497.8571030503,217176.20089961783,254131.4717160844,307157.0333365031,224933.44474446753
5.0,160786.40472051344,195400.38416187625,220085.16557389178,255630.45137751242,310440.22877778363,227396.82426123085
5.083333333333333,164620.9660260864,197374.22454455192,224409.1363514125,257326.9139857556,315199.54821182275,229649.8325114784
5.166666666666667,166468.51915327087,199959.2772668277,227373.74960189452,261659.13182234822,316551.7897233168,232439.81031525557
5.25,165714.03526929993,201345.60576020114,230688.7016487894,262911.54916431755,324365.2748290249,235475.31697062176
5.333333333333333,169757.02389771197,203670.8454731664,234849.0637486415,270279.78444645763,326652.98941812007,238967.2996668401
5.416666666666667,170540.1122721475,206536.2150990944,238488.95120145683,274301.8055706527,330860.2402448469,241861.3385213592
5.5,173047.86469388538,207282.13112063322,241627.92034250853,276420.9821903748,338310.96190879255,245035.00480740078
5.583333333333333,177177.89037705844,210667.3339589733,243132.4225918334,280017.2141107761,350113.0649107447,248135.73442340735
5.666666666666667,177520.04810134147,211046.6623891124,245301.21528978052,285876.8454408281,348355.7160817911,251144.37178082683
5.75,179227.22436182157,214176.3206489819,246929.52588471607,290823.42750649946,356293.40783135104,254371.71519231697
5.833333333333333,179951.20576778054,216482.9244116694,251078.72621368186,292701.7071017096,357291.23254517827,256946.38000697733
5.916666666666667,180420.0944290736,218879.71105682812,254441.7660407502,295644.8596089592,364797.55347427324,260120.99070150522
6.0,181875.21542398693,220757.03878953468,260513.52677793603,299678.71600410825,378117.47206557106,263460.7072051231
